dteday,hr,instant,casual,registered,cnt,interpolated
2011-01-09,23,216,0,6,6,False
2011-01-10,0,217,2,3,5,False
2011-01-10,1,218,1,0,1,False
2011-01-10,2,219,0,3,3,False
2011-01-10,3,220,0,1,1,False
2011-01-10,4,221,1,2,3,False
2011-01-10,5,222,0,3,3,False
2011-01-10,6,223,0,31,31,False
2011-01-10,7,224,2,75,77,False
2011-01-10,8,225,4,184,188,False
2011-01-10,9,226,2,92,94,False
2011-01-10,10,227,0,31,31,False
2011-01-10,11,228,2,28,30,False
2011-01-10,12,229,5,47,52,False
2011-01-10,13,230,4,50,54,False
2011-01-10,14,231,0,47,47,False
2011-01-10,15,232,2,43,45,False
2011-01-10,16,233,4,70,74,False
2011-01-10,17,234,4,174,178,False
2011-01-10,18,235,1,154,155,False
2011-01-10,19,236,3,92,95,False
2011-01-10,20,237,1,73,74,False
2011-01-10,21,238,1,37,38,False
2011-01-10,22,239,2,22,24,False
2011-01-10,23,240,0,18,18,False
2011-01-11,0,241,2,10,12,False
2011-01-11,1,242,0,3,3,False
2011-01-11,2,243,0,3,3,False
2011-01-11,3,244,3,9,12,True
2011-01-11,4,245,1,5,6,True
2011-01-11,5,246,0,6,6,False
2011-01-11,6,247,0,27,27,False
2011-01-11,7,248,2,97,99,False
2011-01-11,8,249,3,214,217,False
2011-01-11,9,250,3,127,130,False
2011-01-11,10,251,3,51,54,False
2011-01-11,11,252,4,31,35,False
2011-01-11,12,253,2,55,57,False
2011-01-11,13,254,6,46,52,False
2011-01-11,14,255,3,60,63,False
2011-01-11,15,256,2,45,47,False
2011-01-11,16,257,4,72,76,False
2011-01-11,17,258,6,130,136,False
2011-01-11,18,259,1,94,95,False
2011-01-11,19,260,0,51,51,False
2011-01-11,20,261,0,32,32,False
2011-01-11,21,262,0,20,20,False
2011-01-11,22,263,1,28,29,False
2011-01-11,23,264,1,18,19,False
2011-01-12,0,265,0,7,7,False
2011-01-12,1,266,0,6,6,False
2011-01-12,2,267,0,1,1,False
2011-01-12,3,268,3,9,12,True
2011-01-12,4,269,1,5,6,True
2011-01-12,5,270,0,5,5,False
2011-01-12,6,271,0,16,16,False
2011-01-12,7,272,0,54,54,False
2011-01-12,8,273,3,125,128,False
2011-01-12,9,274,3,78,81,False
2011-01-12,10,275,0,39,39,False
2011-01-12,11,276,3,32,35,False
2011-01-12,12,277,3,52,55,False
2011-01-12,13,278,0,49,49,False
2011-01-12,14,279,0,44,44,False
2011-01-12,15,280,1,48,49,False
2011-01-12,16,281,5,63,68,False
2011-01-12,17,282,0,139,139,False
2011-01-12,18,283,2,135,137,False
2011-01-12,19,284,1,82,83,False
2011-01-12,20,285,2,54,56,False
2011-01-12,21,286,0,57,57,False
2011-01-12,22,287,1,32,33,False
2011-01-12,23,288,1,19,20,False
2011-01-13,0,289,1,6,7,False
2011-01-13,1,290,0,2,2,False
2011-01-13,2,291,0,2,2,False
2011-01-13,3,292,0,3,3,False
2011-01-13,4,293,0,4,4,False
2011-01-13,5,294,0,3,3,False
2011-01-13,6,295,0,28,28,False
2011-01-13,7,296,0,72,72,False
2011-01-13,8,297,5,197,202,False
2011-01-13,9,298,2,137,139,False
2011-01-13,10,299,2,36,38,False
2011-01-13,11,300,4,33,37,False
2011-01-13,12,301,3,49,52,False
2011-01-13,13,302,2,81,83,False
2011-01-13,14,303,3,39,42,False
2011-01-13,15,304,5,55,60,False
2011-01-13,16,305,2,76,78,False
2011-01-13,17,306,4,158,162,False
2011-01-13,18,307,3,141,144,False
2011-01-13,19,308,1,98,99,False
2011-01-13,20,309,0,64,64,False
2011-01-13,21,310,0,40,40,False
2011-01-13,22,311,0,30,30,False
2011-01-13,23,312,1,14,15,False
2011-01-14,0,313,0,14,14,False
2011-01-14,1,314,0,5,5,False
2011-01-14,2,315,0,1,1,False
2011-01-14,3,316,0,1,1,False
2011-01-14,4,317,1,5,6,True
2011-01-14,5,318,0,8,8,False
2011-01-14,6,319,0,17,17,False
2011-01-14,7,320,0,70,70,False
2011-01-14,8,321,2,156,158,False
2011-01-14,9,322,0,117,117,False
2011-01-14,10,323,4,40,44,False
2011-01-14,11,324,6,47,53,False
2011-01-14,12,325,2,59,61,False
2011-01-14,13,326,4,73,77,False
2011-01-14,14,327,5,59,64,False
2011-01-14,15,328,9,59,68,False
2011-01-14,16,329,3,87,90,False
2011-01-14,17,330,4,155,159,False
2011-01-14,18,331,5,134,139,False
2011-01-14,19,332,3,89,92,False
2011-01-14,20,333,0,68,68,False
2011-01-14,21,334,4,48,52,False
2011-01-14,22,335,2,34,36,False
2011-01-14,23,336,1,26,27,False
2011-01-15,0,337,3,25,28,False
2011-01-15,1,338,2,18,20,False
2011-01-15,2,339,0,12,12,False
2011-01-15,3,340,1,7,8,False
2011-01-15,4,341,0,5,5,False
2011-01-15,5,342,0,1,1,False
2011-01-15,6,343,1,2,3,False
2011-01-15,7,344,1,9,10,False
2011-01-15,8,345,1,22,23,False
2011-01-15,9,346,2,31,33,False
2011-01-15,10,347,2,57,59,False
2011-01-15,11,348,18,54,72,False
2011-01-15,12,349,15,74,89,False
2011-01-15,13,350,21,80,101,False
2011-01-15,14,351,26,92,118,False
2011-01-15,15,352,21,108,129,False
2011-01-15,16,353,33,95,128,False
2011-01-15,17,354,29,54,83,False
2011-01-15,18,355,15,69,84,False
2011-01-15,19,356,14,60,74,False
2011-01-15,20,357,6,35,41,False
2011-01-15,21,358,6,51,57,False
2011-01-15,22,359,0,26,26,False
2011-01-15,23,360,5,39,44,False
2011-01-16,0,361,6,33,39,False
2011-01-16,1,362,4,19,23,False
2011-01-16,2,363,3,13,16,False
2011-01-16,3,364,9,6,15,False
2011-01-16,4,365,0,1,1,False
2011-01-16,5,366,1,1,2,False
2011-01-16,6,367,0,1,1,False
2011-01-16,7,368,0,3,3,False
2011-01-16,8,369,0,18,18,False
2011-01-16,9,370,3,29,32,False
2011-01-16,10,371,8,71,79,False
2011-01-16,11,372,23,70,93,False
2011-01-16,12,373,29,75,104,False
2011-01-16,13,374,23,95,118,False
2011-01-16,14,375,22,69,91,False
2011-01-16,15,376,35,78,113,False
2011-01-16,16,377,22,77,99,False
2011-01-16,17,378,23,82,105,False
2011-01-16,18,379,11,56,67,False
2011-01-16,19,380,14,47,61,False
2011-01-16,20,381,7,50,57,False
2011-01-16,21,382,6,22,28,False
2011-01-16,22,383,2,19,21,False
2011-01-16,23,384,0,18,18,False
2011-01-17,0,385,1,16,17,False
2011-01-17,1,386,1,15,16,False
2011-01-17,2,387,0,8,8,False
2011-01-17,3,388,0,2,2,False
2011-01-17,4,389,1,2,3,False
2011-01-17,5,390,0,1,1,False
2011-01-17,6,391,0,5,5,False
2011-01-17,7,392,4,9,13,False
2011-01-17,8,393,3,30,33,False
2011-01-17,9,394,8,39,47,False
2011-01-17,10,395,7,50,57,False
2011-01-17,11,396,9,55,64,False
2011-01-17,12,397,10,70,80,False
2011-01-17,13,398,13,80,93,False
2011-01-17,14,399,12,74,86,False
2011-01-17,15,400,21,72,93,False
2011-01-17,16,401,6,76,82,False
2011-01-17,17,402,4,67,71,False
2011-01-17,18,403,7,85,92,False
2011-01-17,19,404,2,58,60,False
2011-01-17,20,405,4,29,33,False
2011-01-17,21,406,3,24,27,False
2011-01-17,22,407,0,13,13,False
2011-01-17,23,408,1,3,4,False
2011-01-18,0,409,10,44,54,True
2011-01-18,1,410,7,27,34,True
2011-01-18,2,411,5,18,23,True
2011-01-18,3,412,3,9,12,True
2011-01-18,4,413,1,5,6,True
2011-01-18,5,414,1,18,19,True
2011-01-18,6,415,4,72,76,True
2011-01-18,7,416,11,201,212,True
2011-01-18,8,417,22,337,359,True
2011-01-18,9,418,31,188,219,True
2011-01-18,10,419,46,127,173,True
2011-01-18,11,420,60,149,209,True
2011-01-18,12,421,0,3,3,False
2011-01-18,13,422,0,22,22,False
2011-01-18,14,423,2,26,28,False
2011-01-18,15,424,3,32,35,False
2011-01-18,16,425,0,61,61,False
2011-01-18,17,426,1,124,125,False
2011-01-18,18,427,1,132,133,False
2011-01-18,19,428,1,98,99,False
2011-01-18,20,429,0,83,83,False
2011-01-18,21,430,0,41,41,False
2011-01-18,22,431,0,33,33,False
2011-01-18,23,432,1,19,20,False
2011-01-19,0,433,0,3,3,False
2011-01-19,1,434,1,6,7,False
2011-01-19,2,435,0,3,3,False
2011-01-19,3,436,3,9,12,True
2011-01-19,4,437,1,1,2,False
2011-01-19,5,438,0,7,7,False
2011-01-19,6,439,0,32,32,False
2011-01-19,7,440,1,89,90,False
2011-01-19,8,441,1,196,197,False
2011-01-19,9,442,2,107,109,False
2011-01-19,10,443,1,46,47,False
2011-01-19,11,444,5,47,52,False
2011-01-19,12,445,5,65,70,False
2011-01-19,13,446,11,67,78,False
2011-01-19,14,447,7,68,75,False
2011-01-19,15,448,4,78,82,False
2011-01-19,16,449,10,94,104,False
2011-01-19,17,450,7,190,197,False
2011-01-19,18,451,5,156,161,False
2011-01-19,19,452,4,108,112,False
2011-01-19,20,453,2,74,76,False
2011-01-19,21,454,4,55,59,False
2011-01-19,22,455,6,53,59,False
2011-01-19,23,456,1,27,28,False
2011-01-20,0,457,5,8,13,False
2011-01-20,1,458,2,3,5,False
2011-01-20,2,459,0,2,2,False
2011-01-20,3,460,0,1,1,False
2011-01-20,4,461,0,1,1,False
2011-01-20,5,462,0,6,6,False
2011-01-20,6,463,0,35,35,False
2011-01-20,7,464,1,100,101,False
2011-01-20,8,465,2,247,249,False
2011-01-20,9,466,3,140,143,False
2011-01-20,10,467,1,56,57,False
2011-01-20,11,468,5,63,68,False
2011-01-20,12,469,7,77,84,False
2011-01-20,13,470,12,86,98,False
2011-01-20,14,471,6,75,81,False
2011-01-20,15,472,8,62,70,False
2011-01-20,16,473,8,83,91,False
2011-01-20,17,474,8,207,215,False
2011-01-20,18,475,1,184,185,False
2011-01-20,19,476,6,146,152,False
2011-01-20,20,477,2,124,126,False
2011-01-20,21,478,3,54,57,False
2011-01-20,22,479,0,56,56,False
2011-01-20,23,480,3,28,31,False
2011-01-21,0,481,1,20,21,False
2011-01-21,1,482,0,6,6,False
2011-01-21,2,483,0,2,2,False
2011-01-21,3,484,0,1,1,False
2011-01-21,4,485,0,1,1,False
2011-01-21,5,486,1,4,5,False
2011-01-21,6,487,0,27,27,False
2011-01-21,7,488,2,66,68,False
2011-01-21,8,489,7,210,217,False
2011-01-21,9,490,7,159,166,False
2011-01-21,10,491,6,57,63,False
2011-01-21,11,492,6,53,59,False
2011-01-21,12,493,11,67,78,False
2011-01-21,13,494,8,65,73,False
2011-01-21,14,495,6,56,62,False
2011-01-21,15,496,4,61,65,False
2011-01-21,16,497,0,97,97,False
2011-01-21,17,498,10,151,161,False
2011-01-21,18,499,1,119,120,False
2011-01-21,19,500,3,93,96,False
2011-01-21,20,501,1,52,53,False
2011-01-21,21,502,0,41,41,False
2011-01-21,22,503,1,33,34,False
2011-01-21,23,504,0,27,27,False
2011-01-22,0,505,0,13,13,False
2011-01-22,1,506,3,9,12,False
2011-01-22,2,507,0,11,11,False
2011-01-22,3,508,1,6,7,False
2011-01-22,4,509,0,3,3,False
2011-01-22,5,510,1,18,19,True
2011-01-22,6,511,0,2,2,False
2011-01-22,7,512,0,8,8,False
2011-01-22,8,513,1,26,27,False
2011-01-22,9,514,3,37,40,False
2011-01-22,10,515,3,50,53,False
2011-01-22,11,516,4,59,63,False
2011-01-22,12,517,10,60,70,False
2011-01-22,13,518,12,72,84,False
2011-01-22,14,519,11,64,75,False
2011-01-22,15,520,10,93,103,False
2011-01-22,16,521,11,72,83,False
2011-01-22,17,522,8,59,67,False
2011-01-22,18,523,0,54,54,False
2011-01-22,19,524,6,53,59,False
2011-01-22,20,525,1,44,45,False
2011-01-22,21,526,0,39,39,False
2011-01-22,22,527,7,23,30,False
2011-01-22,23,528,2,31,33,False
2011-01-23,0,529,2,20,22,False
2011-01-23,1,530,1,12,13,False
2011-01-23,2,531,3,15,18,False
2011-01-23,3,532,1,4,5,False
2011-01-23,4,533,1,5,6,True
2011-01-23,5,534,0,3,3,False
2011-01-23,6,535,0,1,1,False
2011-01-23,7,536,1,1,2,False
2011-01-23,8,537,2,17,19,False
2011-01-23,9,538,3,25,28,False
2011-01-23,10,539,7,51,58,False
2011-01-23,11,540,22,77,99,False
2011-01-23,12,541,24,92,116,False
2011-01-23,13,542,12,75,87,False
2011-01-23,14,543,17,93,110,False
2011-01-23,15,544,13,64,77,False
2011-01-23,16,545,9,56,65,False
2011-01-23,17,546,5,50,55,False
2011-01-23,18,547,5,44,49,False
2011-01-23,19,548,5,45,50,False
2011-01-23,20,549,4,31,35,False
2011-01-23,21,550,5,20,25,False
2011-01-23,22,551,5,23,28,False
2011-01-23,23,552,4,17,21,False
2011-01-24,0,553,0,7,7,False
2011-01-24,1,554,0,1,1,False
2011-01-24,2,555,5,18,23,True
2011-01-24,3,556,0,1,1,False
2011-01-24,4,557,0,1,1,False
2011-01-24,5,558,0,5,5,False
2011-01-24,6,559,0,15,15,False
2011-01-24,7,560,5,79,84,False
2011-01-24,8,561,6,171,177,False
2011-01-24,9,562,4,98,102,False
2011-01-24,10,563,6,34,40,False
2011-01-24,11,564,3,43,46,False
2011-01-24,12,565,11,52,63,False
2011-01-24,13,566,6,54,60,False
2011-01-24,14,567,2,43,45,False
2011-01-24,15,568,7,50,57,False
2011-01-24,16,569,4,66,70,False
2011-01-24,17,570,6,178,184,False
2011-01-24,18,571,8,145,153,False
2011-01-24,19,572,5,101,106,False
2011-01-24,20,573,1,80,81,False
2011-01-24,21,574,6,53,59,False
2011-01-24,22,575,3,32,35,False
2011-01-24,23,576,3,21,24,False
2011-01-25,0,577,3,6,9,False
2011-01-25,1,578,0,5,5,False
2011-01-25,2,579,0,2,2,False
2011-01-25,3,580,3,9,12,True
2011-01-25,4,581,0,1,1,False
2011-01-25,5,582,0,9,9,False
2011-01-25,6,583,1,35,36,False
2011-01-25,7,584,5,103,108,False
2011-01-25,8,585,5,233,238,False
2011-01-25,9,586,10,134,144,False
2011-01-25,10,587,6,49,55,False
2011-01-25,11,588,6,55,61,False
2011-01-25,12,589,21,85,106,False
2011-01-25,13,590,21,72,93,False
2011-01-25,14,591,11,57,68,False
2011-01-25,15,592,21,63,84,False
2011-01-25,16,593,14,102,116,False
2011-01-25,17,594,14,208,222,False
2011-01-25,18,595,7,218,225,False
2011-01-25,19,596,13,133,146,False
2011-01-25,20,597,16,103,119,False
2011-01-25,21,598,5,40,45,False
2011-01-25,22,599,4,49,53,False
2011-01-25,23,600,3,37,40,False
2011-01-26,0,601,3,14,17,False
2011-01-26,1,602,0,5,5,False
2011-01-26,2,603,3,7,10,False
2011-01-26,3,604,3,9,12,True
2011-01-26,4,605,1,5,6,True
2011-01-26,5,606,0,1,1,False
2011-01-26,6,607,0,8,8,False
2011-01-26,7,608,1,29,30,False
2011-01-26,8,609,3,69,72,False
2011-01-26,9,610,3,55,58,False
2011-01-26,10,611,2,26,28,False
2011-01-26,11,612,6,35,41,False
2011-01-26,12,613,7,41,48,False
2011-01-26,13,614,4,43,47,False
2011-01-26,14,615,0,36,36,False
2011-01-26,15,616,1,42,43,False
2011-01-26,16,617,1,35,36,False
2011-01-26,17,618,0,26,26,False
2011-01-26,18,619,61,364,425,True
2011-01-26,19,620,49,263,312,True
2011-01-26,20,621,36,190,226,True
2011-01-26,21,622,28,144,172,True
2011-01-26,22,623,22,109,131,True
2011-01-26,23,624,15,73,88,True
2011-01-27,0,625,10,44,54,True
2011-01-27,1,626,7,27,34,True
2011-01-27,2,627,5,18,23,True
2011-01-27,3,628,3,9,12,True
2011-01-27,4,629,1,5,6,True
2011-01-27,5,630,1,18,19,True
2011-01-27,6,631,4,72,76,True
2011-01-27,7,632,11,201,212,True
2011-01-27,8,633,22,337,359,True
2011-01-27,9,634,31,188,219,True
2011-01-27,10,635,46,127,173,True
2011-01-27,11,636,60,149,209,True
2011-01-27,12,637,68,185,253,True
2011-01-27,13,638,72,181,253,True
2011-01-27,14,639,76,165,241,True
2011-01-27,15,640,75,176,251,True
2011-01-27,16,641,1,23,24,False
2011-01-27,17,642,2,82,84,False
2011-01-27,18,643,3,101,104,False
2011-01-27,19,644,3,76,79,False
2011-01-27,20,645,4,55,59,False
2011-01-27,21,646,2,36,38,False
2011-01-27,22,647,0,27,27,False
2011-01-27,23,648,0,16,16,False
2011-01-28,0,649,0,9,9,False
2011-01-28,1,650,1,2,3,False
2011-01-28,2,651,0,2,2,False
2011-01-28,3,652,1,0,1,False
2011-01-28,4,653,1,5,6,True
2011-01-28,5,654,0,4,4,False
2011-01-28,6,655,0,16,16,False
2011-01-28,7,656,2,58,60,False
2011-01-28,8,657,2,155,157,False
2011-01-28,9,658,6,95,101,False
2011-01-28,10,659,0,49,49,False
2011-01-28,11,660,0,30,30,False
2011-01-28,12,661,1,28,29,False
2011-01-28,13,662,0,31,31,False
2011-01-28,14,663,2,36,38,False
2011-01-28,15,664,1,40,41,False
2011-01-28,16,665,10,70,80,False
2011-01-28,17,666,2,147,149,False
2011-01-28,18,667,2,107,109,False
2011-01-28,19,668,5,84,89,False
2011-01-28,20,669,1,61,62,False
2011-01-28,21,670,1,57,58,False
2011-01-28,22,671,0,26,26,False
2011-01-28,23,672,1,22,23,False
2011-01-29,0,673,2,26,28,False
2011-01-29,1,674,0,20,20,False
2011-01-29,2,675,0,15,15,False
2011-01-29,3,676,3,5,8,False
2011-01-29,4,677,1,2,3,False
2011-01-29,5,678,1,18,19,True
2011-01-29,6,679,0,2,2,False
2011-01-29,7,680,1,4,5,False
2011-01-29,8,681,3,31,34,False
2011-01-29,9,682,0,34,34,False
2011-01-29,10,683,4,51,55,False
2011-01-29,11,684,4,60,64,False
2011-01-29,12,685,12,66,78,False
2011-01-29,13,686,9,56,65,False
2011-01-29,14,687,10,89,99,False
2011-01-29,15,688,22,98,120,False
2011-01-29,16,689,19,88,107,False
2011-01-29,17,690,9,82,91,False
2011-01-29,18,691,9,59,68,False
2011-01-29,19,692,6,52,58,False
2011-01-29,20,693,1,42,43,False
2011-01-29,21,694,1,35,36,False
2011-01-29,22,695,4,28,32,False
2011-01-29,23,696,3,30,33,False
2011-01-30,0,697,0,33,33,False
2011-01-30,1,698,7,22,29,False
2011-01-30,2,699,1,10,11,False
2011-01-30,3,700,1,7,8,False
2011-01-30,4,701,0,1,1,False
2011-01-30,5,702,0,3,3,False
2011-01-30,6,703,4,72,76,True
2011-01-30,7,704,0,3,3,False
2011-01-30,8,705,1,11,12,False
2011-01-30,9,706,4,34,38,False
2011-01-30,10,707,7,57,64,False
2011-01-30,11,708,9,50,59,False
2011-01-30,12,709,10,87,97,False
2011-01-30,13,710,13,71,84,False
2011-01-30,14,711,18,104,122,False
2011-01-30,15,712,14,95,109,False
2011-01-30,16,713,19,104,123,False
2011-01-30,17,714,6,71,77,False
2011-01-30,18,715,8,57,65,False
2011-01-30,19,716,9,46,55,False
2011-01-30,20,717,3,30,33,False
2011-01-30,21,718,3,25,28,False
2011-01-30,22,719,2,19,21,False
2011-01-30,23,720,5,16,21,False
2011-01-31,0,721,1,6,7,False
2011-01-31,1,722,2,5,7,False
2011-01-31,2,723,0,1,1,False
2011-01-31,3,724,0,2,2,False
2011-01-31,4,725,0,2,2,False
2011-01-31,5,726,0,8,8,False
2011-01-31,6,727,0,37,37,False
2011-01-31,7,728,1,71,72,False
2011-01-31,8,729,3,182,185,False
2011-01-31,9,730,0,112,112,False
2011-01-31,10,731,1,68,69,False
2011-01-31,11,732,2,46,48,False
2011-01-31,12,733,6,62,68,False
2011-01-31,13,734,2,52,54,False
